"co_anomes","co_ibge","vl_indicador_calculado_mun","co_uf","no_municipio","sg_uf","no_uf","co_regiao_brasil","no_regiao_brasil","sg_regiao_brasil","co_regiao_saude","no_regiao_saude","no_macro","co_macro","vl_indicador_calculado_rs","vl_indicador_calculado_ms","vl_indicador_calculado_uf","vl_indicador_calculado_reg","vl_indicador_calculado_br","vl_indicador_calculado_al","dt_competencia","dt_atualizacao","ds_unidade_medida","sg_granularidade","ds_granularidade","sg_categoria","ds_categoria","co_item_categoria","ds_item_categoria"
200712,"None","None",25,"None","PB","Paraíba",2,"Nordeste","NE","None","None","None","None","None","None",16.8798037629968,17.9904587925109,15.9582852267949,"None","2007-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
206012,"None","None",33,"None","RJ","Rio de Janeiro",3,"Sudeste","SE","None","None","None","None","None","None",7.47466098649565,7.53390040399733,7.74790102324625,"None","2060-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
202512,"None","None",29,"None","BA","Bahia",2,"Nordeste","NE","None","None","None","None","None","None",10.9514503721932,11.7699897204071,11.4175108239213,"None","2025-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
201912,"None","None",35,"None","SP","São Paulo",3,"Sudeste","SE","None","None","None","None","None","None",12.911517355297,12.6757333125461,13.8102868339663,"None","2019-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
200212,"None","None",14,"None","RR","Roraima",1,"Norte","N","None","None","None","None","None","None",27.7764221690824,25.6968180899351,18.3111810038611,"None","2002-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
206612,"None","None",23,"None","CE","Ceará",2,"Nordeste","NE","None","None","None","None","None","None",7.27575794482028,7.26728819158113,7.51815334416773,"None","2066-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
200912,"None","None",14,"None","RR","Roraima",1,"Norte","N","None","None","None","None","None","None",23.2627595287716,21.353736728039,15.458066010486,"None","2009-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
201412,"None","None",31,"None","MG","Minas Gerais",3,"Sudeste","SE","None","None","None","None","None","None",13.3108551595781,14.0287315514319,15.0679545746894,"None","2014-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
204212,"None","None",50,"None","MS","Mato Grosso do Sul",5,"Centro-Oeste","CO","None","None","None","None","None","None",10.1617361375324,10.1193545175909,9.13947700379844,"None","2042-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
204012,"None","None",27,"None","AL","Alagoas",2,"Nordeste","NE","None","None","None","None","None","None",10.080081400626,9.29085891596351,9.31157107488101,"None","2040-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
205412,"None","None",27,"None","AL","Alagoas",2,"Nordeste","NE","None","None","None","None","None","None",8.49273886828154,7.96978916070003,8.18664686049513,"None","2054-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
201212,"None","None",51,"None","MT","Mato Grosso",5,"Centro-Oeste","CO","None","None","None","None","None","None",16.7051795499895,15.8008844101156,15.0143051101878,"None","2012-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
206312,"None","None",35,"None","SP","São Paulo",3,"Sudeste","SE","None","None","None","None","None","None",7.42167599665625,7.43293274200875,7.60837903038956,"None","2063-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
201312,"None","None",35,"None","SP","São Paulo",3,"Sudeste","SE","None","None","None","None","None","None",14.1043145382729,13.7218570312874,14.8540530475679,"None","2013-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
206712,"None","None",50,"None","MS","Mato Grosso do Sul",5,"Centro-Oeste","CO","None","None","None","None","None","None",8.02324330553155,8.20741350309172,7.50052115595904,"None","2067-12-01 12:00:00","2026-03-18 03:04:53","Taxa","UF","Unidade Federativa","TD","Todas as categorias",0,"Total"
